,Day,Month,Year,Date,Price,10D Return,250roll_mean,250roll_std,state,Invest,In_Time,In_Price,Fixed_In,Fixed_Price,D_In,D_Price
0,4,1,1997,1997-01-04,12.14,0.017603,0.017603,,,0,0,,0,,0,
1,6,1,1997,1997-01-06,12.13,0.011676,0.0146395,0.004191021892092668,mid,0,0,,1,12.13,0,
2,7,1,1997,1997-01-07,12.12,0.013378,0.014219,0.0030516869105463623,mid,0,0,,0,,0,
3,8,1,1997,1997-01-08,12.17,0.01841,0.01526675,0.0032557102015791685,mid,0,0,,0,,0,
4,9,1,1997,1997-01-09,12.2,0.020921,0.0163976,0.003787326933339661,high,0,0,,0,,0,
5,10,1,1997,1997-01-10,12.08,0.005828,0.014635999999999996,0.005485843927783582,low,0,0,,0,,0,
6,11,1,1997,1997-01-11,11.98,-0.0016699999999999998,0.012306571428571429,0.007941183703897525,low,0,0,,0,,0,
7,13,1,1997,1997-01-13,11.97,-0.006640000000000001,0.00993825,0.00994610756240134,low,0,0,,0,,0,
8,14,1,1997,1997-01-14,12.11,0.005814,0.00948,0.009404752056806177,mid,0,0,,0,,0,
9,15,1,1997,1997-01-15,12.1,0.0,0.008532,0.009359951626180793,mid,0,0,,0,,0,
10,16,1,1997,1997-01-16,12.03,-0.009060956,0.006932640363636364,0.010343369311337648,low,0,0,,0,,0,
11,17,1,1997,1997-01-17,12.08,-0.004122012,0.006011419333333335,0.010365477876752913,mid,0,0,,0,,0,
12,18,1,1997,1997-01-18,12.2,0.00660066,0.006056745538461538,0.00992553501609158,mid,0,0,,0,,0,
13,20,1,1997,1997-01-20,12.21,0.003286771,0.0058588902142857145,0.009564838046002664,mid,0,0,,0,,0,
14,21,1,1997,1997-01-21,12.19,-0.000819672,0.005413652733333333,0.009376830472860802,mid,0,0,,0,,0,
15,22,1,1997,1997-01-22,12.16,0.006622517,0.00548920675,0.009063918631214151,mid,0,0,,0,,0,
16,23,1,1997,1997-01-23,12.25,0.022537563,0.006492051235294117,0.009701381715628636,high,0,0,,0,,0,
17,24,1,1997,1997-01-24,12.23,0.021720969,0.007338102222222221,0.010072981947814178,high,0,0,,0,,0,
18,25,1,1997,1997-01-25,12.17,0.004954583,0.0072126538421052626,0.009804439373496218,mid,0,0,,0,,0,
19,27,1,1997,1997-01-27,12.18,0.00661157,0.007182599650000001,0.009543887000285384,mid,0,0,,0,,0,
20,28,1,1997,1997-01-28,12.15,0.009975062,0.0073155740476190485,0.009322167994590671,mid,0,0,,0,,0,
21,29,1,1997,1997-01-29,12.27,0.015728477,0.0076979787272727284,0.009272632864446632,mid,0,0,,0,,0,
22,30,1,1997,1997-01-30,12.27,0.005737705,0.0076127494347826095,0.009068656624375128,mid,0,0,,0,,0,
23,31,1,1997,1997-01-31,12.38,0.013923014,0.007875677125000001,0.008962365809933148,mid,0,0,,0,,0,
24,1,2,1997,1997-02-01,12.43,0.019688269,0.008348180799999999,0.009086179648894093,high,0,0,,0,,0,
25,3,2,1997,1997-02-03,12.44,0.023026316,0.008912724461538462,0.009356428932977723,high,0,0,,0,,0,
26,11,2,1997,1997-02-11,12.26,0.0008163269999999999,0.008612857888888891,0.009306104019042416,mid,0,0,,1,12.26,0,
27,12,2,1997,1997-02-12,12.22,-0.000817661,0.008276053642857144,0.009304422126768744,mid,0,0,,0,,0,
28,13,2,1997,1997-02-13,12.27,0.008216926999999999,0.00827401479310345,0.009136767745651468,mid,0,0,,0,,0,
29,14,2,1997,1997-02-14,12.37,0.015599343,0.008518192400000003,0.009076924983812105,mid,0,0,,0,,0,
30,15,2,1997,1997-02-15,12.38,0.018930041,0.00885405848387097,0.009118179738202508,high,0,0,,0,,0,
31,17,2,1997,1997-02-17,12.38,0.008964955,0.008857524000000002,0.00896992819381592,mid,0,0,,0,,0,
32,18,2,1997,1997-02-18,12.5,0.018744906,0.009157141636363638,0.008994869813291295,high,0,0,,0,,0,
33,19,2,1997,1997-02-19,12.44,0.004846527,0.009030358852941178,0.00888833205452478,mid,0,0,,0,,0,
34,20,2,1997,1997-02-20,12.48,0.004022525999999999,0.008887277914285717,0.008797463882440992,mid,0,0,,0,,0,
35,21,2,1997,1997-02-21,12.53,0.007234727,0.008841373722222223,0.008675248323241687,mid,0,0,,0,,0,
36,22,2,1997,1997-02-22,12.56,0.024469821,0.009263764189189193,0.008931443719020986,high,0,0,,0,,0,
37,24,2,1997,1997-02-24,12.55,0.02700491,0.009730636447368423,0.009268094259471343,high,0,0,,0,,0,
38,25,2,1997,1997-02-25,11.38,-0.072534637,0.007621270461538462,0.016036354898394486,extremely low,0,0,,0,,0,
39,26,2,1997,1997-02-26,11.44,-0.075181892,0.005551191400000002,0.02054214704344557,extremely low,0,0,,0,,0,
40,27,2,1997,1997-02-27,11.38,-0.080775444,0.0034456637073170746,0.024355562639292862,extremely low,0,0,,0,,0,
41,28,2,1997,1997-02-28,11.29,-0.088045234,0.0012673090000000016,0.02789309819110957,extremely low,0,0,,0,,0,
42,1,3,1997,1997-03-01,11.26,-0.0992,-0.0010691400465116265,0.03153152822177953,extremely low,0,0,,0,,0,
43,3,3,1997,1997-03-03,11.26,-0.094855305,-0.0032006437954545442,0.03422018464554133,very low,0,0,,0,,0,
44,4,3,1997,1997-03-04,11.18,-0.104166667,-0.0054443331999999975,0.03702625175705506,very low,0,0,,0,,1,11.18
45,5,3,1997,1997-03-05,11.14,-0.110933759,-0.00773758158695652,0.03977928314639197,very low,0,0,,0,,1,11.14
46,6,3,1997,1997-03-06,11.15,-0.112261146,-0.009961487212765956,0.04219528526066186,very low,0,0,,1,11.15,1,11.15
47,7,3,1997,1997-03-07,11.08,-0.117131474,-0.012194195270833331,0.04451785759154003,very low,1,0,,0,,1,11.08
48,8,3,1997,1997-03-08,11.11,-0.023725835,-0.012429534857142856,0.044082481440318684,Buy,0,5,11.11,0,,0,
49,10,3,1997,1997-03-10,11.12,-0.027972028,-0.01274038472,0.04368567361209071,mid,0,0,,0,,0,
50,11,3,1997,1997-03-11,11.19,-0.016695958,-0.012817944980392158,0.04325015737146946,mid,0,0,,0,,0,
51,12,3,1997,1997-03-12,11.23,-0.005314438,-0.01267364676923077,0.042836676952096885,mid,0,0,,0,,0,
52,13,3,1997,1997-03-13,11.19,-0.006216696,-0.012551817509433962,0.042432056793754516,mid,0,0,,0,,0,
53,14,3,1997,1997-03-14,11.16,-0.008880995,-0.012483839314814813,0.04203281657676492,mid,0,0,,0,,0,
54,15,3,1997,1997-03-15,11.12,-0.005366726,-0.012354437254545452,0.041652861893080026,mid,0,0,,0,,0,
55,17,3,1997,1997-03-17,11.13,-0.0008976660000000002,-0.012149852053571426,0.04130084800614439,mid,0,0,,0,,0,
56,18,3,1997,1997-03-18,11.02,-0.011659193,-0.012141243999999995,0.04093048092588402,mid,0,0,,0,,0,
57,19,3,1997,1997-03-19,10.97,-0.009927798,-0.012103081137931031,0.0405708939671869,mid,0,0,,0,,0,
58,20,3,1997,1997-03-20,10.88,-0.02070207,-0.012248826711864405,0.04023520144976763,mid,0,0,,0,,0,
59,21,3,1997,1997-03-21,10.91,-0.018884892,-0.012359427799999996,0.039901966027189234,mid,0,0,,0,,0,
60,22,3,1997,1997-03-22,10.88,-0.027703307000000003,-0.012610966803278684,0.03961679393937345,mid,0,0,,0,,0,
61,24,3,1997,1997-03-24,10.91,-0.028495102,-0.012867162532258062,0.039342476528980944,mid,0,0,,0,,0,
62,25,3,1997,1997-03-25,10.87,-0.028596962000000007,-0.013116841888888885,0.03907419683415435,mid,0,0,,0,,0,
63,26,3,1997,1997-03-26,10.95,-0.018817204,-0.013205910046874995,0.03876939220201639,mid,0,0,,0,,0,
64,27,3,1997,1997-03-27,10.91,-0.018884892,-0.013293278999999995,0.03847176283638172,mid,0,0,,0,,0,
65,28,3,1997,1997-03-28,10.88,-0.022461815,-0.013432196212121208,0.03819135759510284,mid,0,0,,0,,0,
66,31,3,1997,1997-03-31,10.86,-0.014519056,-0.013448417999999995,0.03790115739529557,mid,0,0,,0,,0,
67,1,4,1997,1997-04-01,10.87,-0.00911577,-0.01338470258823529,0.037620918698232905,mid,0,0,,0,,0,
68,2,4,1997,1997-04-02,10.76,-0.011029412,-0.013350567942028982,0.037344346190826536,mid,0,0,,0,,0,
69,3,4,1997,1997-04-03,10.75,-0.014665445,-0.013369351899999994,0.03707308044962135,mid,0,0,,0,,0,
70,7,4,1997,1997-04-07,10.79,-0.008272059,-0.013297559042253515,0.036812290985746086,mid,0,0,,1,10.79,0,
71,8,4,1997,1997-04-08,10.75,-0.014665445,-0.01331655745833333,0.03655248567830937,mid,0,0,,0,,0,
72,9,4,1997,1997-04-09,10.74,-0.011959522,-0.013297967931506843,0.03629810891467234,mid,0,0,,0,,0,
73,10,4,1997,1997-04-10,10.72,-0.021004566,-0.013402111148648648,0.036059764744469834,mid,0,0,,0,,0,
74,11,4,1997,1997-04-11,10.67,-0.021998167,-0.013516725226666665,0.035829040612050764,mid,0,0,,0,,0,
75,12,4,1997,1997-04-12,10.63,-0.022977941,-0.013641214907894734,0.03560592234773922,mid,0,0,,0,,0,
76,14,4,1997,1997-04-14,10.65,-0.019337017,-0.01371518636363636,0.03537685252768672,mid,0,0,,0,,0,
77,15,4,1997,1997-04-15,10.57,-0.027598896,-0.013893182641025638,0.03518152092923029,mid,0,0,,0,,0,
78,16,4,1997,1997-04-16,10.56,-0.018587361,-0.013952602620253165,0.034959260416052115,mid,0,0,,0,,0,
79,17,4,1997,1997-04-17,10.61,-0.013023256,-0.0139409857875,0.03473745000923601,mid,0,0,,0,,0,
80,18,4,1997,1997-04-18,10.61,-0.016682113000000002,-0.013974826864197529,0.03452100180217985,mid,0,0,,0,,0,
81,19,4,1997,1997-04-19,10.63,-0.011162791000000002,-0.013940533743902438,0.034308652823979664,mid,0,0,,0,,0,
82,21,4,1997,1997-04-21,10.64,-0.009310987,-0.013884756072289155,0.03410259821730592,mid,0,0,,0,,0,
83,22,4,1997,1997-04-22,10.74,0.001865672,-0.013697250976190477,0.03394007361014531,mid,0,0,,0,,0,
84,23,4,1997,1997-04-23,10.7,0.002811621,-0.013503028952941174,0.03378493077548498,mid,0,0,,0,,0,
85,24,4,1997,1997-04-24,10.74,0.010348071,-0.013225690581395349,0.03368394103917577,mid,0,0,,0,,0,
86,25,4,1997,1997-04-25,10.71,0.005633803000000001,-0.013008914793103449,0.03354851785979727,mid,0,0,,0,,0,
87,26,4,1997,1997-04-26,10.71,0.013245033,-0.012710574477272724,0.033472359417765815,mid,0,0,,0,,0,
88,28,4,1997,1997-04-28,10.71,0.014204545,-0.012408157404494382,0.03340369188549618,mid,0,0,,0,,0,
89,29,4,1997,1997-04-29,10.66,0.004712535,-0.012217927488888893,0.033264490771520085,mid,0,0,,0,,0,
90,30,4,1997,1997-04-30,10.61,0.0,-0.01208366454945055,0.03310395782933006,mid,0,0,,0,,0,
91,2,5,1997,1997-05-02,10.68,0.004703669000000001,-0.011901193532608698,0.03296805538813265,mid,0,0,,0,,0,
92,3,5,1997,1997-05-03,10.76,0.011278195,-0.011651952795698924,0.0328763725664354,mid,0,0,,0,,0,
93,5,5,1997,1997-05-05,10.78,0.003724395,-0.011488374627659573,0.03273757782377868,mid,0,0,,0,,0,
94,6,5,1997,1997-05-06,10.8,0.009345794,-0.011269067589473684,0.03263305833748305,mid,0,0,,1,10.8,0,
95,7,5,1997,1997-05-07,10.87,0.012104283,-0.0110255951875,0.03254838882243838,mid,0,0,,0,,0,
